mapping, replan, sfc, mpc, df, 
0, 0.000439, 0.006156, 0.621708, 0.037882, 
0, 0.000211, 0.002791, 0.698023, 0.051807, 
0, 0.000224, 0.003804, 0.682235, 0.051434, 
0, 0.000297, 0.00582, 0.556921, 0.039374, 
0, 0.000105, 0.003778, 0.664197, 0.067758, 
0, 0.000296, 0.004653, 0.671365, 0.205384, 
0, 0.000171, 0.003883, 0.596663, 0.046524, 
0, 0.000206, 0.002607, 0.615254, 0.044669, 
0, 0.000209, 0.004077, 0.775235, 0.088617, 
0, 0.000442, 0.005651, 0.665313, 0.039672, 
0, 0.000321, 0.006015, 0.54748, 0.079559, 
0, 0.000312, 0.005469, 0.616588, 0.041276, 
0, 0.000187, 0.00372, 0.653239, 0.04313, 
0, 0.000234, 0.003488, 0.66521, 0.04113, 
0, 0.000218, 0.003573, 0.587009, 0.057148, 
0, 0.000188, 0.002246, 0.369469, 0.034273, 
0, 0.000225, 0.003758, 0.645349, 0.052175, 
0, 0.000314, 0.005001, 0.673102, 0.0485, 
0, 0.00019, 0.004604, 0.786845, 0.053902, 
0, 0.00026, 0.003588, 0.67508, 0.052533, 
0, 0.000187, 0.003626, 0.566449, 0.04745, 
0, 0.000115, 0.003308, 0.666152, 0.050598, 
0, 0.00043, 0.005251, 0.540343, 0.043032, 
0, 0.000178, 0.003788, 0.732189, 0.041732, 
0, 0.000173, 0.003417, 0.777166, 0.049148, 
0, 0.000222, 0.004211, 0.658824, 0.040504, 
0, 0.000195, 0.003487, 0.660289, 0.050486, 
0, 0.000326, 0.005306, 0.652429, 0.052551, 
0, 0.000263, 0.003731, 0.719479, 0.041975, 
0, 0.00031, 0.004675, 0.665554, 0.041465, 
0, 0.000149, 0.003253, 0.633302, 0.041317, 
0, 0.000505, 0.003746, 0.721643, 0.049145, 
0, 0.000155, 0.003388, 0.628658, 0.049775, 
0, 0.000387, 0.005499, 0.533141, 0.037516, 
0, 0.000225, 0.003591, 0.604639, 0.048263, 
0, 0.000254, 0.00375, 0.739706, 0.045071, 
0, 0.000266, 0.004088, 0.693112, 0.049332, 
0, 0.00039, 0.006491, 0.685219, 0.053101, 
0, 0.000408, 0.006325, 0.624938, 0.044981, 
0, 0.00018, 0.002896, 0.586888, 0.037655, 
0, 0.000164, 0.003578, 0.709238, 0.048734, 
0, 0.000312, 0.003664, 0.794662, 0.049396, 
0, 0.000309, 0.005217, 0.577275, 0.040992, 
0, 0.000169, 0.003729, 0.695112, 0.050485, 
0, 0.000142, 0.00411, 0.605507, 0.042931, 
0, 0.000398, 0.005591, 0.60008, 0.039421, 
0, 0.000322, 0.003728, 0.724561, 0.053337, 
0, 0.000153, 0.003436, 0.694163, 0.049068, 
0, 0.000228, 0.003463, 0.63257, 0.04829, 
0, 0.0001, 0.003029, 0.589403, 0.031819, 
0, 0.000412, 0.005638, 0.523901, 0.043234, 
0, 0.000108, 0.003617, 0.672512, 0.043425, 
0, 0.000181, 0.002461, 0.476832, 0.033007, 
0, 0.000189, 0.003791, 0.630175, 0.045031, 
0, 0.000165, 0.003138, 0.498638, 0.041784, 
0, 0.000131, 0.002863, 0.610716, 0.038427, 
0, 0.000117, 0.00389, 0.727212, 0.052614, 
0, 0.00021, 0.002733, 0.588591, 0.043467, 
0, 0.000401, 0.006032, 0.60965, 0.041628, 
0, 0.003957, 0.003636, 0.723406, 0.042227, 
0, 0.000233, 0.003274, 0.660265, 0.043977, 
0, 0.000186, 0.003519, 0.601643, 0.040889, 
0, 0.000153, 0.003058, 0.477215, 0.034183, 
0, 0.000555, 0.006368, 0.60106, 0.042558, 
0, 0.000178, 0.003551, 0.620265, 0.048087, 
0, 0.000187, 0.003375, 0.580605, 0.041379, 
0, 0.00033, 0.006589, 0.678593, 0.049175, 
0, 0.0003, 0.003397, 0.606534, 0.040224, 
0, 0.000146, 0.003625, 0.62735, 0.042738, 
0, 0.000267, 0.00344, 0.67979, 0.042426, 
0, 0.000108, 0.002998, 0.569841, 0.043178, 
0, 0.000284, 0.003413, 0.669979, 0.053398, 
0, 0.000266, 0.002615, 0.541013, 0.042681, 
0, 0.000262, 0.003139, 0.548257, 0.039066, 
0, 0.000164, 0.003066, 0.599928, 0.042625, 
0, 0.000326, 0.004868, 0.594532, 0.04255, 
0, 0.000132, 0.003162, 0.681912, 0.038992, 
0, 0.000386, 0.004803, 0.526263, 0.042884, 
0, 0.000305, 0.003416, 0.584735, 0.056858, 
0, 0.000223, 0.002901, 0.580371, 0.034097, 
0, 0.000335, 0.004429, 0.259247, 0.02428, 
0, 0.000116, 0.001095, 0.186523, 0.022022, 
0, 0.000105, 0.001893, 0.285755, 0.03163, 
0, 0.000115, 0.00144, 0.188218, 0.023911, 
0, 0.000275, 0.005399, 0.211899, 0.01689, 
0, 0.00028, 0.005468, 0.280008, 0.014614, 
0, 0.000297, 0.005275, 0.252022, 0.017015, 
0, 5.4e-05, 0.001346, 0.262431, 0.017231, 
0, 0.000345, 0.00564, 0.20503, 0.013218, 
0, 0.000112, 0.001378, 0.204771, 0.00999, 
0, 0.000332, 0.004423, 0.258732, 0.018446, 
0, 0.000289, 0.006197, 0.235357, 0.015666, 
0, 0.000129, 0.001532, 0.276058, 0.026565, 
0, 0.000119, 0.001222, 0.186862, 0.019888, 
0, 5.3e-05, 0.001423, 0.256014, 0.017648, 
0, 5.8e-05, 0.000886, 0.19692, 0.014961, 
0, 0.000114, 0.001245, 0.178366, 0.016582, 
0, 5.2e-05, 0.000797, 0.226466, 0.012169, 
0, 0.000123, 0.001338, 0.272022, 0.026288, 
0, 0.000329, 0.005874, 0.217998, 0.016538, 
0, 0.000269, 0.004321, 0.235266, 0.014935, 
0, 5.7e-05, 0.001283, 0.255056, 0.015298, 
0, 0.000332, 0.00467, 0.268316, 0.014222, 
0, 0.000393, 0.004384, 0.223944, 0.013709, 
0, 0.000338, 0.005713, 0.197279, 0.012653, 
0, 0.000291, 0.005501, 0.245893, 0.017895, 
0, 5.5e-05, 0.000915, 0.187001, 0.015777, 
0, 0.00028, 0.005116, 0.246552, 0.01538, 
0, 0.000278, 0.005801, 0.193705, 0.015481, 
0, 0.000292, 0.005093, 0.230811, 0.013243, 
0, 0.000285, 0.005035, 0.210849, 0.01382, 
0, 0.000277, 0.00517, 0.228643, 0.014358, 
0, 0.000288, 0.005656, 0.206887, 0.012092, 
0, 0.000271, 0.005505, 0.214356, 0.01362, 
0, 0.000231, 0.005895, 0.271683, 0.016843, 
0, 0.000349, 0.005581, 0.192696, 0.01511, 
0, 0.000278, 0.004462, 0.258718, 0.013923, 
0, 0.000109, 0.001461, 0.298883, 0.019833, 
0, 0.000182, 0.001127, 0.17763, 0.015782, 
0, 8.4e-05, 0.001516, 0.265347, 0.020185, 
0, 0.000275, 0.004337, 0.225554, 0.012583, 
0, 9.6e-05, 0.001418, 0.251562, 0.017049, 
0, 0.000263, 0.005139, 0.245554, 0.012388, 
0, 0.000279, 0.005017, 0.209907, 0.014564, 
0, 0.000117, 0.001102, 0.188555, 0.020394, 
0, 0.000329, 0.006164, 0.316674, 0.022618, 
0, 0.000166, 0.00154, 0.273104, 0.018542, 
0, 4.3e-05, 0.001365, 0.276635, 0.015431, 
0, 5.9e-05, 0.00153, 0.304998, 0.019985, 
0, 5.6e-05, 0.001163, 0.17726, 0.014582, 
0, 0.000125, 0.001477, 0.270154, 0.017255, 
0, 7.4e-05, 0.000924, 0.179734, 0.017513, 
0, 0.000232, 0.006265, 0.280635, 0.019716, 
0, 0.000122, 0.001344, 0.257434, 0.015593, 
0, 0.000115, 0.001157, 0.262403, 0.019455, 
0, 0.000312, 0.005155, 0.229702, 0.018063, 
0, 0.000275, 0.004194, 0.236085, 0.01321, 
0, 5.3e-05, 0.000796, 0.213124, 0.015306, 
0, 0.00012, 0.000882, 0.216264, 0.015104, 
0, 5.5e-05, 0.001404, 0.270597, 0.020737, 
0, 0.000276, 0.004841, 0.225856, 0.014119, 
0, 0.000352, 0.005332, 0.24083, 0.012878, 
0, 0.000127, 0.001146, 0.197328, 0.024138, 
0, 0.00012, 0.001111, 0.180861, 0.015437, 
0, 0.000102, 0.001389, 0.301312, 0.020596, 
0, 5.4e-05, 0.001005, 0.184079, 0.015709, 
0, 5.5e-05, 0.000984, 0.181883, 0.013839, 
0, 6.2e-05, 0.000988, 0.191253, 0.01805, 
0, 0.000287, 0.004857, 0.247466, 0.015709, 
0, 0.000119, 0.000718, 0.200497, 0.014891, 
0, 0.000356, 0.005917, 0.210043, 0.015488, 
0, 0.000176, 0.001544, 0.276831, 0.028458, 
0, 9.7e-05, 0.00124, 0.239997, 0.015393, 
0, 5.5e-05, 0.001459, 0.244299, 0.018402, 
0, 6.4e-05, 0.001275, 0.241523, 0.019909, 
0, 5.2e-05, 0.001339, 0.237603, 0.015939, 
0, 4.8e-05, 0.001345, 0.237085, 0.015912, 
0, 0.000301, 0.005759, 0.195703, 0.014865, 
0, 0.000342, 0.005529, 0.271695, 0.017988, 
0, 0.000144, 0.001569, 0.283842, 0.02917, 
0, 0.000134, 0.001551, 0.277378, 0.024309, 
0, 7.7e-05, 0.000946, 0.179155, 0.017491, 
0, 9e-05, 0.001385, 0.259095, 0.017841, 
0, 0.000134, 0.001584, 0.283084, 0.026835, 
0, 0.00012, 0.001571, 0.268332, 0.028442, 
